boundary_requirement_id,capability_name,zone,boundary_rule_family,authoritative_source_refs,owning_objects_or_contracts,triggering_actors,required_inputs,produced_outputs_or_artifacts,lawful_engine_relationship,security_privacy_implications,observability_implications,degraded_or_failure_behavior,forbidden_shortcuts_or_false_equivalences,downstream_phase_implications,notes
BR_030,"Northbound API gateway, session management, and experience-stream transport",broader_product_outside_core,core_semantics_vs_northbound_transport,Algorithm/invention_and_system_boundary.md#b-what-is-outside-the-core-engine-but-still-inside-the-broader-product | Algorithm/northbound_api_and_session_contract.md#1-core-principles | Algorithm/northbound_api_and_session_contract.md#purpose,ApiCommandReceipt | experience stream transport | northbound API gateway,API gateway | browser client | native client,ETags | commands | resume tokens | session state,command receipts | problem envelopes | snapshot transport | stream events,"The broader product may render, secure, route, or transport engine-authored artifacts, but it must not infer or mutate core legal posture locally.","Enforce session binding, cache partitioning, least privilege, and secret isolation so delivery layers cannot widen scope or leak protected data.",Capture delivery/runtime evidence separately from engine decision evidence and keep projection rebuild paths independent from command-side truth.,"Rebase, require re-authentication, or fall back to read-only recovery; do not rewrite engine truth to preserve UX continuity.",promoting ExperienceDelta or receipt transport fields into command truth | treating partial POST success as legal state | using reconnect logic to invent missing transitions client-side,"API and streaming work must preserve command/read separation, stale-view guards, and duplicate suppression at the edge. | Frontend flows must recover via durable receipts and snapshot rebase rather than by replaying writes heuristically.","Northbound delivery is required for the product, but the contract itself says command-side truth remains inside the core engine."
BR_031,"Platform routing, scene restoration, and window choreography",broader_product_outside_core,route_shell_choreography_not_engine_truth,Algorithm/invention_and_system_boundary.md#b-what-is-outside-the-core-engine-but-still-inside-the-broader-product | Algorithm/northbound_api_and_session_contract.md#1-core-principles,route controller | scene restoration | shell continuity metadata | window choreography,browser client | native client,object_anchor_ref | restoration metadata | shell_family | shell_route_key,focus anchors | restored windows | route transitions,"The broader product may render, secure, route, or transport engine-authored artifacts, but it must not infer or mutate core legal posture locally.","Enforce session binding, cache partitioning, least privilege, and secret isolation so delivery layers cannot widen scope or leak protected data.",Capture delivery/runtime evidence separately from engine decision evidence and keep projection rebuild paths independent from command-side truth.,"Rebase, require re-authentication, or fall back to read-only recovery; do not rewrite engine truth to preserve UX continuity.",letting local choreography rewrite scope or authority posture | restoring UI selection without the underlying engine-authored stability contract | treating a route alias as a new legal object or scope,Desktop and browser shell work must consume route-stable engine posture fields without inventing a second interaction grammar. | Recovery UX should prefer rebase and stable anchors over local recreation of missing state.,Routing and restoration consume engine-authored shell semantics but do not themselves define what the legal posture means.
BR_032,"Identity, session, step-up, CSRF, and device-binding runtime controls",broader_product_outside_core,runtime_identity_and_secret_hardening_not_engine,Algorithm/invention_and_system_boundary.md#b-what-is-outside-the-core-engine-but-still-inside-the-broader-product | Algorithm/security_and_runtime_hardening_contract.md#2-identity-session-and-command-trust,ActorSession | CSRF protections | device binding | session gateway,browser client | identity provider | native client,OIDC or OAuth identity | revocation state | session binding | step-up policy,ActorSession | device-bound session posture | revocation audit,"The broader product may render, secure, route, or transport engine-authored artifacts, but it must not infer or mutate core legal posture locally.","Enforce session binding, cache partitioning, least privilege, and secret isolation so delivery layers cannot widen scope or leak protected data.",Capture delivery/runtime evidence separately from engine decision evidence and keep projection rebuild paths independent from command-side truth.,"Rebase, require re-authentication, or fall back to read-only recovery; do not rewrite engine truth to preserve UX continuity.",allowing stale or replayed commands to masquerade as valid engine intent | smuggling session runtime controls into engine semantics | treating client-held tokens as the only trust boundary,"Access-control and northbound work must validate every command against live session posture while preserving a separate engine authorization record. | Frontend clients should lean on server-issued session state, not local trust shortcuts, for privileged actions.",Session and command-trust hardening protects the engine but is defined as broader-product runtime control rather than inventive core logic.
BR_033,"Token vault, OAuth session maintenance, and key or secret lifecycle custody",broader_product_outside_core,runtime_identity_and_secret_hardening_not_engine,Algorithm/invention_and_system_boundary.md#b-what-is-outside-the-core-engine-but-still-inside-the-broader-product | Algorithm/security_and_runtime_hardening_contract.md#3-secret-key-and-token-handling,KMS or HSM boundary | OAuth session maintenance | SecretVersion | token vault,authority gateway | identity provider | security operator,authority link refs | secret rotation state | token lineage,rotation evidence | secret-version lineage | token refs,"The broader product may render, secure, route, or transport engine-authored artifacts, but it must not infer or mutate core legal posture locally.","Enforce session binding, cache partitioning, least privilege, and secret isolation so delivery layers cannot widen scope or leak protected data.",Capture delivery/runtime evidence separately from engine decision evidence and keep projection rebuild paths independent from command-side truth.,"Rebase, require re-authentication, or fall back to read-only recovery; do not rewrite engine truth to preserve UX continuity.","claiming mere token or OAuth handling as the invention | keeping raw authority tokens in queues, read models, or logs | using secret rotation to silently rebind a request to a different client context","Authority transport, recovery, and release work must treat secret custody as a separate runtime boundary from engine-owned request identity. | Security automation should preserve token-binding lineage without turning secret storage into command-side truth.",Provider-specific credential custody mechanics remain outside the core even though the engine depends on them lawfully.
BR_034,Notification delivery,broader_product_outside_core,notification_delivery_not_engine_decisioning,Algorithm/actor_and_authority_model.md#c-service-principals | Algorithm/invention_and_system_boundary.md#b-what-is-outside-the-core-engine-but-still-inside-the-broader-product,email provider | notification service | push delivery channel,client user | notification service | operator,customer-safe projection | delivery channel config | workflow posture,delivery receipts | emails | push notifications,"The broader product may render, secure, route, or transport engine-authored artifacts, but it must not infer or mutate core legal posture locally.","Enforce session binding, cache partitioning, least privilege, and secret isolation so delivery layers cannot widen scope or leak protected data.",Capture delivery/runtime evidence separately from engine decision evidence and keep projection rebuild paths independent from command-side truth.,"Rebase, require re-authentication, or fall back to read-only recovery; do not rewrite engine truth to preserve UX continuity.",letting channel failure rewrite underlying engine posture | serializing internal-only reason codes directly into customer messaging | treating a delivered notification as legal or workflow completion,"Later messaging integrations should read customer-safe projections from the engine and keep delivery state orthogonal. | Workflow and portal modules must treat notification delivery as side-effectful communication, never as the source of truth.",Notifications communicate engine posture but do not define or complete it.
BR_035,"Durable storage, object store, queue, cache, and observability runtime",broader_product_outside_core,runtime_topology_not_engine,Algorithm/deployment_and_resilience_contract.md#1-reference-runtime-topology | Algorithm/invention_and_system_boundary.md#b-what-is-outside-the-core-engine-but-still-inside-the-broader-product | Algorithm/security_and_runtime_hardening_contract.md#6-data-protection-privacy-and-cache-safety,append-only audit store | cache | object store | observability stack | primary control store | queue or broker,operators | platform runtime | workers,cache partition keys | engine-authored artifacts | outbox or inbox truth,cache entries | queue deliveries | stored artifact bodies | telemetry,"The broader product may render, secure, route, or transport engine-authored artifacts, but it must not infer or mutate core legal posture locally.","Enforce session binding, cache partitioning, least privilege, and secret isolation so delivery layers cannot widen scope or leak protected data.",Capture delivery/runtime evidence separately from engine decision evidence and keep projection rebuild paths independent from command-side truth.,"Rebase, require re-authentication, or fall back to read-only recovery; do not rewrite engine truth to preserve UX continuity.",rebuilding truth from read models instead of durable command-side artifacts | reusing cache entries across tenants or masking postures | treating the queue or cache as the legal system of record,"Infrastructure work must keep durable truth rebuildable from manifests, audit evidence, and authority records. | Projection and cache systems should remain disposable and partition-safe, especially across tenant and masking boundaries.","Runtime topology is essential for operability, but the corpus explicitly keeps legal truth and inventive semantics out of queues, caches, and delivery substrates."
BR_036,"Schema migration, release admission, rollback, backup, restore, DR, and packaging control plane",broader_product_outside_core,release_resilience_not_engine,Algorithm/deployment_and_resilience_contract.md#6-rollout-rollback-and-fail-forward-posture | Algorithm/deployment_and_resilience_contract.md#deployment-and-resilience-contract | Algorithm/invention_and_system_boundary.md#b-what-is-outside-the-core-engine-but-still-inside-the-broader-product,BuildArtifact | DeploymentRelease | RecoveryCheckpoint | SchemaMigrationLedger,operators | platform runtime | release engineer,build artifacts | migration plan | restore evidence | schema bundle,compatibility gates | deployment releases | restore drills | rollback or fail-forward posture,"The broader product may render, secure, route, or transport engine-authored artifacts, but it must not infer or mutate core legal posture locally.","Enforce session binding, cache partitioning, least privilege, and secret isolation so delivery layers cannot widen scope or leak protected data.",Capture delivery/runtime evidence separately from engine decision evidence and keep projection rebuild paths independent from command-side truth.,"Rebase, require re-authentication, or fall back to read-only recovery; do not rewrite engine truth to preserve UX continuity.",blindly replaying live authority mutations during restore or DR | rolling back legal truth by deleting or obscuring persisted evidence | treating release automation as the inventive core,"Future platform tasks should model fail-forward and restore evidence as runtime governance, not as substitutions for engine lineage. | Release, migration, and recovery work must preserve manifest, audit, privacy, and authority guarantees rather than redefining them.","Promotion, rollback, restore, and packaging are broader-product control-plane functions that protect the engine without becoming its inventive center."
BR_037,"Standalone advisory forecasting disconnected from manifest, trust, and provenance governance",broader_product_outside_core,standalone_forecasting_outside_invention,Algorithm/invention_and_system_boundary.md#boundary-rule-8-the-engine-owns-compliance-vs-analysis-segregation | Algorithm/invention_and_system_boundary.md#negative-boundary-what-is-not-the-invention,advisory model | analysis workspace | forecast UI,analyst | operator,advisory assumptions | what-if inputs,advisory scenarios | standalone forecasts,"The broader product may render, secure, route, or transport engine-authored artifacts, but it must not infer or mutate core legal posture locally.","Enforce session binding, cache partitioning, least privilege, and secret isolation so delivery layers cannot widen scope or leak protected data.",Capture delivery/runtime evidence separately from engine decision evidence and keep projection rebuild paths independent from command-side truth.,"Rebase, require re-authentication, or fall back to read-only recovery; do not rewrite engine truth to preserve UX continuity.","claiming disconnected forecasting as the invention | omitting manifest, trust, or provenance boundaries around analysis products | reusing ungoverned advisory output inside filing-capable flows",Any advisory-only tooling must remain clearly outside filing-capable paths unless it is reintroduced through the governed engine boundary. | Forecast features should either serialize execution-mode boundaries or stay explicitly outside the core decision spine.,"The corpus explicitly excludes standalone forecasting models that are disconnected from manifest freeze, trust, and provenance governance."
BR_038,"Identity issuance, HMRC sign-up, and agent authorisation setup",external_authority_or_actor,identity_issuance_outside_engine,Algorithm/authority_interaction_protocol.md#9-1-boundary-rule | Algorithm/invention_and_system_boundary.md#1-hmrc-sign-up-and-agent-authorisation-setup | Algorithm/invention_and_system_boundary.md#boundary-rule-1-the-engine-owns-decisions-not-identity-issuance,HMRC sign-up flow | agent services account | authority-issued identity,HMRC | agent | reporting subject,authority onboarding data | external identity proofing,authorisation grants | authority account creation | delegation setup,"The engine may guide, request, compare, record, or react to this function, but it cannot absorb, impersonate, or overwrite the external actor's authority.",Treat external state as untrusted until authenticated and correlated; never derive identity issuance or legal truth from local convenience.,"Record handoff, acknowledgement, comparison, and provenance evidence so external truth and internal intent remain distinguishable.","Remain pending, blocked, or advisory-only until external resolution exists; never assume success from silence or local intent.",implementing HMRC sign-up or primary identity issuance inside the engine | treating local tenant policy as equivalent to authority-issued identity | using RPA or local shortcuts to absorb prohibited sign-up journeys,Authority-link and delegation modules must validate imported or existing authority context instead of fabricating it. | User journeys should treat sign-up as an external prerequisite and surface bounded handoff or prerequisite failure posture.,"Identity proofing, sign-up, and primary authority issuance remain with HMRC or the relevant external provider."
BR_039,HMRC-online-services-only tasks and provider-hosted journeys,external_authority_or_actor,guide_not_absorb_hmrc_online_services_only,Algorithm/invention_and_system_boundary.md#2-hmrc-online-services-only-tasks | Algorithm/invention_and_system_boundary.md#boundary-rule-6-the-engine-may-guide-users-to-hmrc-online-services-but-does-not-absorb-hmrc-only-tasks,HMRC online services | external session | system browser handoff,HMRC online service | agent | reporting subject,external-service URLs | task eligibility guidance | user intent,external-task completion | handoff context,"The engine may guide, request, compare, record, or react to this function, but it cannot absorb, impersonate, or overwrite the external actor's authority.",Treat external state as untrusted until authenticated and correlated; never derive identity issuance or legal truth from local convenience.,"Record handoff, acknowledgement, comparison, and provenance evidence so external truth and internal intent remain distinguishable.","Remain pending, blocked, or advisory-only until external resolution exists; never assume success from silence or local intent.",presenting guided handoff as if the engine completed the task itself | reimplementing HMRC-only journeys inside product flows | using embedded trusted web surfaces to blur the authority boundary,"Portal and operator journeys must model formal boundary crossings for HMRC-only tasks. | Workflow and posture layers may guide, link, or track completion evidence, but they must not absorb the task semantics.","The lawful engine relationship is guidance and handoff, not absorption of HMRC-reserved journeys."
BR_040,Authority-owned legal submission truth,external_authority_or_actor,authority_acceptance_and_legal_truth_external,Algorithm/actor_and_authority_model.md#layer-5-authority-of-record-precedence | Algorithm/invention_and_system_boundary.md#3-authority-owned-legal-status | Algorithm/invention_and_system_boundary.md#boundary-rule-3-the-engine-owns-filing-intent-and-packet-formation-not-authority-acceptance,Authority of Record | authority acknowledgement | submission legal status,HMRC | authority system,authority acknowledgement | authority status feeds | authority-side corrections,authority-defined submission truth | legal status,"The engine may guide, request, compare, record, or react to this function, but it cannot absorb, impersonate, or overwrite the external actor's authority.",Treat external state as untrusted until authenticated and correlated; never derive identity issuance or legal truth from local convenience.,"Record handoff, acknowledgement, comparison, and provenance evidence so external truth and internal intent remain distinguishable.","Remain pending, blocked, or advisory-only until external resolution exists; never assume success from silence or local intent.",allowing workflow completion to outrank authority acknowledgement | rewriting authority truth from internal convenience or timeout heuristics | treating internal submitted or done labels as legal truth,"Any state machine that surfaces filing posture must keep authority precedence explicit and typed. | Submission, portal, and governance work must preserve a hard boundary between internal intent and authority-owned truth.","The engine records and interprets authority truth, but it does not own or replace it."
BR_041,HMRC's own calculation service,external_authority_or_actor,parity_and_trust_not_authority_calculation,Algorithm/authority_interaction_protocol.md#9-2-protocol-scope | Algorithm/invention_and_system_boundary.md#4-hmrc-s-own-calculation-service | Algorithm/invention_and_system_boundary.md#boundary-rule-4-the-engine-owns-parity-and-trust-not-hmrc-s-own-calculations,AuthorityReference | HMRC calculation service,HMRC | authority gateway | compute service,authority calculation result | calculation request,authority calculation | comparison input,"The engine may guide, request, compare, record, or react to this function, but it cannot absorb, impersonate, or overwrite the external actor's authority.",Treat external state as untrusted until authenticated and correlated; never derive identity issuance or legal truth from local convenience.,"Record handoff, acknowledgement, comparison, and provenance evidence so external truth and internal intent remain distinguishable.","Remain pending, blocked, or advisory-only until external resolution exists; never assume success from silence or local intent.",claiming authority calculation retrieval as the inventive center | overwriting authority-returned calculation meaning with local heuristics | presenting internal compute as if it were the same as the authority's own calculation service,"Later authority-integration tasks should treat calculation retrieval as comparison input, not as local legal truth creation. | Parity and filing-readiness modules must preserve authority-calculation provenance separately from internal compute results.","The engine may request and compare HMRC calculations, but it never becomes HMRC's calculation service."
BR_042,Human judgment outside the approved override protocol,external_authority_or_actor,human_judgment_outside_override_protocol,Algorithm/actor_and_authority_model.md#layer-4-exceptional-authority | Algorithm/invention_and_system_boundary.md#5-human-judgment-outside-override-protocol | Algorithm/invention_and_system_boundary.md#negative-boundary-what-is-not-the-invention,external judgment | manual conversations | off-system professional advice,approver | external advisor | reviewer,human interpretation | off-system conversation,external advice | undocumented decision,"The engine may guide, request, compare, record, or react to this function, but it cannot absorb, impersonate, or overwrite the external actor's authority.",Treat external state as untrusted until authenticated and correlated; never derive identity issuance or legal truth from local convenience.,"Record handoff, acknowledgement, comparison, and provenance evidence so external truth and internal intent remain distinguishable.","Remain pending, blocked, or advisory-only until external resolution exists; never assume success from silence or local intent.",claiming generic manual workflow as the invention | treating undocumented human judgment as engine truth | using ad hoc verbal approval to bypass override or audit artifacts,"Later collaboration tooling should differentiate off-system context from persisted override or rationale artifacts. | Workflow, override, and audit modules must ingest human judgment only through governed records and typed state transitions.","Human judgment only enters the engine when it is captured through governed override, workflow, or audit artifacts."
BR_043,"Reporting-subject legal consent, declaration, and signatory acts",external_authority_or_actor,legal_consent_external_to_engine,Algorithm/actor_and_authority_model.md#3-6-principal-context-schema | Algorithm/actor_and_authority_model.md#layer-1-legal-subject-authority | Algorithm/actor_and_authority_model.md#layer-2-delegated-client-authority,DelegationGrant | reporting-subject authority | signatory evidence,client signatory | delegate | reporting subject,delegation evidence | external legal authority | signatory basis,declaration consent | delegated authority evidence,"The engine may guide, request, compare, record, or react to this function, but it cannot absorb, impersonate, or overwrite the external actor's authority.",Treat external state as untrusted until authenticated and correlated; never derive identity issuance or legal truth from local convenience.,"Record handoff, acknowledgement, comparison, and provenance evidence so external truth and internal intent remain distinguishable.","Remain pending, blocked, or advisory-only until external resolution exists; never assume success from silence or local intent.",letting step-up completion fabricate a missing signatory basis | treating an internal role assignment as equivalent to external legal consent | using product session state as a substitute for delegated client authority,"Approval, portal, and authority-link flows must keep legal consent and delegated authority as explicit prerequisites rather than UI assumptions. | Sign-off journeys must capture and persist evidence of who had the right to act, not just who clicked submit.","The engine can verify and record signatory or delegation evidence, but it does not create the reporting subject's legal authority."
BR_044,External source systems and document providers as raw-source origins,external_authority_or_actor,external_source_truth_outside_engine,Algorithm/canonical_source_and_evidence_taxonomy.md#4-3-source-classes-by-origin | Algorithm/invention_and_system_boundary.md#boundary-rule-2-the-engine-owns-canonicalization-not-raw-source-truth,bank feeds | bookkeeping systems | declared assertions | document sources,client user | customer bank | document source system | external provider,declarations | documents | external records | provider payloads,declared assertions | documentary evidence | raw source material,"The engine may guide, request, compare, record, or react to this function, but it cannot absorb, impersonate, or overwrite the external actor's authority.",Treat external state as untrusted until authenticated and correlated; never derive identity issuance or legal truth from local convenience.,"Record handoff, acknowledgement, comparison, and provenance evidence so external truth and internal intent remain distinguishable.","Remain pending, blocked, or advisory-only until external resolution exists; never assume success from silence or local intent.","assuming freshness or correctness because the payload came from an institution | collapsing EvidenceItem, CandidateFact, and CanonicalFact into one raw data bucket | treating source origin as already canonical","Collection and normalization work must preserve origin class, source strength, and freshness before promotion into canonical facts. | Future provenance and trust modules should use source origin as input, not as a substitute for canonicalization.","Banks, document providers, and declared human inputs remain external origins even when the engine later normalizes them."
BR_045,Authority-side processing semantics beyond what is returned,external_authority_or_actor,authority_side_processing_external,Algorithm/authority_interaction_protocol.md#9-1-boundary-rule | Algorithm/invention_and_system_boundary.md#3-authority-owned-legal-status,authority queues | authority-side processing | provider internal semantics,HMRC | authority system,authority request | provider-side internal processing,acknowledgement or rejection states | returned responses | unresolved external latency,"The engine may guide, request, compare, record, or react to this function, but it cannot absorb, impersonate, or overwrite the external actor's authority.",Treat external state as untrusted until authenticated and correlated; never derive identity issuance or legal truth from local convenience.,"Record handoff, acknowledgement, comparison, and provenance evidence so external truth and internal intent remain distinguishable.","Remain pending, blocked, or advisory-only until external resolution exists; never assume success from silence or local intent.",pretending local retries know what the authority is doing internally | reconstructing authority processing semantics from timeout behaviour alone | treating internal queue state as a substitute for authority-side progress,"Later authority analytics should preserve unresolved or unknown posture rather than inventing deterministic external state. | Reconciliation and pending-state logic must react only to returned or authenticated authority evidence, not to local optimism.",The engine can only reason over what the authority returns or lawfully acknowledges; internal provider processing remains external.
