dependency_key,classification,capability_category,source_file,source_heading_or_logical_block,source_ref,rationale
ENVIRONMENT_TENANT_AND_AUTHORITY_PROFILE_MATRIX,ROADMAP_IMPLIED,CONTROL_PLANE_PREREQUISITE,PROMPT/Checklist.md,pc_0031 phase_01_seq_031_enumerate_required_environments_tenants_and_authority_profiles,PROMPT/Checklist.md::L66[pc_0031],"The provisioning wave starts by enumerating environments, tenants, and authority profiles."
ENVIRONMENT_TENANT_AND_AUTHORITY_PROFILE_MATRIX,ROADMAP_IMPLIED,CONTROL_PLANE_PREREQUISITE,Algorithm/authority_interaction_protocol.md,9.3 Core protocol objects,Algorithm/authority_interaction_protocol.md::L67[9.3_Core_protocol_objects],"Authority objects freeze provider environment, scope, and binding identity, so those profiles must exist before registration."
ENVIRONMENT_TENANT_AND_AUTHORITY_PROFILE_MATRIX,ROADMAP_IMPLIED,CONTROL_PLANE_PREREQUISITE,Algorithm/actor_and_authority_model.md,3.5 Actor-to-authority relationships,Algorithm/actor_and_authority_model.md::L151[3.5_Actor-to-authority_relationships],Authority links and delegation edges need a canonical environment and authority partition basis.
BROWSER_AUTOMATION_WORKSPACE_AND_EVIDENCE_HARNESS,ROADMAP_IMPLIED,AUTOMATION_WORKSPACE,PROMPT/Checklist.md,pc_0032 phase_01_seq_032_bootstrap_browser_automation_workspace_for_third_party_provisioning,PROMPT/Checklist.md::L67[pc_0032],Provisioning work requires a reusable browser automation workspace.
BROWSER_AUTOMATION_WORKSPACE_AND_EVIDENCE_HARNESS,ROADMAP_IMPLIED,AUTOMATION_WORKSPACE,PROMPT/Checklist.md,pc_0048 phase_01_seq_048_browser_automation_capture_anti_bot_mfa_or_manual_checkpoint_evidence_for_blocked_portals,PROMPT/Checklist.md::L83[pc_0048],The roadmap expects checkpoint evidence capture when portals block full automation.
AUTHORITY_DEVELOPER_HUB_WORKSPACE,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,PROMPT/Checklist.md,pc_0034 phase_01_seq_034_browser_automation_create_hmrc_developer_hub_account_and_project_workspace,PROMPT/Checklist.md::L69[pc_0034],The roadmap requires a developer-hub workspace before sandbox app registration can begin.
AUTHORITY_DEVELOPER_HUB_WORKSPACE,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,Algorithm/authority_interaction_protocol.md,9.2 Protocol scope,Algorithm/authority_interaction_protocol.md::L47[9.2_Protocol_scope],Authority integration is an external provider boundary rather than an internal-only API.
AUTHORITY_SANDBOX_APP_REGISTRATION,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,PROMPT/Checklist.md,pc_0035 phase_01_seq_035_browser_automation_register_hmrc_sandbox_application_for_obligations_calculations_and_submissions,PROMPT/Checklist.md::L70[pc_0035],"The roadmap creates a dedicated sandbox application for obligations, calculations, and submissions."
AUTHORITY_SANDBOX_APP_REGISTRATION,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,Algorithm/authority_interaction_protocol.md,9.6 Token and client binding rule,Algorithm/authority_interaction_protocol.md::L540[9.6_Token_and_client_binding_rule],"Authority traffic is bound to a specific client and token profile, so sandbox registration is a separate dependency."
AUTHORITY_SANDBOX_APP_REGISTRATION,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,Algorithm/actor_and_authority_model.md,3.10 Delegation rules,Algorithm/actor_and_authority_model.md::L426[3.10_Delegation_rules],Imported authorization and authority-link rules assume stable client identities per provider environment.
AUTHORITY_PRODUCTION_APP_REGISTRATION,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,PROMPT/Checklist.md,pc_0031 phase_01_seq_031_enumerate_required_environments_tenants_and_authority_profiles,PROMPT/Checklist.md::L66[pc_0031],Environment and authority-profile planning implies a live provider environment alongside sandbox.
AUTHORITY_PRODUCTION_APP_REGISTRATION,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,PROMPT/Checklist.md,pc_0038 phase_01_seq_038_browser_automation_export_hmrc_client_identifiers_and_secrets_into_vault_records,PROMPT/Checklist.md::L73[pc_0038],Vault export and rotation boundaries imply separate live credentials as well as sandbox credentials.
AUTHORITY_PRODUCTION_APP_REGISTRATION,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,Algorithm/authority_interaction_protocol.md,9.3 Core protocol objects,Algorithm/authority_interaction_protocol.md::L67[9.3_Core_protocol_objects],"Authority bindings freeze provider environment and API version, requiring a distinct production registration."
AUTHORITY_REDIRECT_URI_CALLBACK_AND_SCOPE_CONFIGURATION,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,PROMPT/Checklist.md,pc_0036 phase_01_seq_036_browser_automation_configure_hmrc_redirect_uris_scopes_and_callback_endpoints,PROMPT/Checklist.md::L71[pc_0036],"Redirect URIs, scopes, and callback endpoints are an explicit provisioning step."
AUTHORITY_REDIRECT_URI_CALLBACK_AND_SCOPE_CONFIGURATION,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,Algorithm/authority_interaction_protocol.md,9.5 Preflight sequence,Algorithm/authority_interaction_protocol.md::L509[9.5_Preflight_sequence],Preflight checks require exact endpoint and scope readiness before live authority operations proceed.
AUTHORITY_REDIRECT_URI_CALLBACK_AND_SCOPE_CONFIGURATION,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,Algorithm/authority_interaction_protocol.md,9.9A Inbound authority ingress protocol,Algorithm/authority_interaction_protocol.md::L792[9.9A_Inbound_authority_ingress_protocol],Inbound callbacks are part of the normalized authority ingress boundary and must be registered precisely.
AUTHORITY_FRAUD_PREVENTION_PROFILE_BINDINGS,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,PROMPT/Checklist.md,pc_0037 phase_01_seq_037_browser_automation_validate_hmrc_fraud_prevention_header_setup_and_sandbox_profile_bindings,PROMPT/Checklist.md::L72[pc_0037],The roadmap calls for explicit fraud-prevention and sandbox-profile validation.
AUTHORITY_FRAUD_PREVENTION_PROFILE_BINDINGS,ROADMAP_IMPLIED,AUTHORITY_CONTROL_PLANE,Algorithm/authority_interaction_protocol.md,9.7 Fraud-prevention header rule,Algorithm/authority_interaction_protocol.md::L601[9.7_Fraud-prevention_header_rule],Fraud-prevention posture is mandatory runtime law and therefore a distinct setup dependency.
AUTHORITY_API_PROVIDER_INTERFACE,ALGORITHM_EXPLICIT,EXTERNAL_AUTHORITY_API,Algorithm/authority_interaction_protocol.md,9.2 Protocol scope,Algorithm/authority_interaction_protocol.md::L47[9.2_Protocol_scope],The contract defines the authority boundary as a controlled external interaction surface.
AUTHORITY_API_PROVIDER_INTERFACE,ALGORITHM_EXPLICIT,EXTERNAL_AUTHORITY_API,Algorithm/authority_interaction_protocol.md,9.8 Request hashing and idempotency,Algorithm/authority_interaction_protocol.md::L621[9.8_Request_hashing_and_idempotency],Runtime interaction requires exact idempotency and hash handling against the provider API.
AUTHORITY_API_PROVIDER_INTERFACE,ALGORITHM_EXPLICIT,EXTERNAL_AUTHORITY_API,Algorithm/authority_interaction_protocol.md,9.13 Reconciliation protocol,Algorithm/authority_interaction_protocol.md::L998[9.13_Reconciliation_protocol],"Authority truth and internal truth must reconcile through a real provider interface, not an internal-only API."
EXTERNAL_IDENTITY_PROVIDER_FEDERATION,ALGORITHM_EXPLICIT,IDENTITY_AND_ACCESS,Algorithm/security_and_runtime_hardening_contract.md,"2. Identity, session, and command trust",Algorithm/security_and_runtime_hardening_contract.md::L30[2._Identity_session_and_command_trust],The security contract explicitly requires federated product identity through OIDC/OAuth 2.0 or equivalent.
EXTERNAL_IDENTITY_PROVIDER_FEDERATION,ALGORITHM_EXPLICIT,IDENTITY_AND_ACCESS,Algorithm/actor_and_authority_model.md,3.13 Machine-actor rules,Algorithm/actor_and_authority_model.md::L555[3.13_Machine-actor_rules],Machine actors and federated authorization rules require an external identity boundary.
IDP_TENANT_AND_APPLICATION_CLIENTS,ROADMAP_IMPLIED,IDENTITY_AND_ACCESS,PROMPT/Checklist.md,pc_0039 phase_01_seq_039_browser_automation_create_oidc_identity_provider_tenant_and_application_clients,PROMPT/Checklist.md::L74[pc_0039],The roadmap creates IdP tenants and application clients as a first-class provisioning dependency.
IDP_TENANT_AND_APPLICATION_CLIENTS,ROADMAP_IMPLIED,IDENTITY_AND_ACCESS,Algorithm/security_and_runtime_hardening_contract.md,"2. Identity, session, and command trust",Algorithm/security_and_runtime_hardening_contract.md::L30[2._Identity_session_and_command_trust],The federation requirement becomes concrete through per-surface client registrations.
IDP_ROLE_SCOPE_MFA_AND_SESSION_POLICIES,ROADMAP_IMPLIED,IDENTITY_AND_ACCESS,PROMPT/Checklist.md,pc_0040 phase_01_seq_040_browser_automation_configure_roles_scopes_mfa_step_up_and_session_policies_in_identity_provider,PROMPT/Checklist.md::L75[pc_0040],"The roadmap treats MFA, step-up, session, and role-policy setup as its own dependency boundary."
IDP_ROLE_SCOPE_MFA_AND_SESSION_POLICIES,ROADMAP_IMPLIED,IDENTITY_AND_ACCESS,Algorithm/actor_and_authority_model.md,3.11 Non-delegable and step-up actions,Algorithm/actor_and_authority_model.md::L490[3.11_Non-delegable_and_step-up_actions],Step-up and non-delegable action rules must be reflected in concrete IdP policy configuration.
IDP_ROLE_SCOPE_MFA_AND_SESSION_POLICIES,ROADMAP_IMPLIED,IDENTITY_AND_ACCESS,Algorithm/security_and_runtime_hardening_contract.md,"2. Identity, session, and command trust",Algorithm/security_and_runtime_hardening_contract.md::L30[2._Identity_session_and_command_trust],"Session and step-up trust rules require explicit policy enforcement, not just raw client registration."
EMAIL_DELIVERY_PROVIDER_ACCOUNT_AND_SENDER_DOMAIN,ROADMAP_IMPLIED,NOTIFICATIONS_AND_DELIVERY,PROMPT/Checklist.md,pc_0041 phase_01_seq_041_browser_automation_create_email_delivery_provider_account_and_sender_domain,PROMPT/Checklist.md::L76[pc_0041],The roadmap provisions a delivery-provider account and sender domain explicitly.
EMAIL_DELIVERY_PROVIDER_ACCOUNT_AND_SENDER_DOMAIN,ROADMAP_IMPLIED,NOTIFICATIONS_AND_DELIVERY,Algorithm/collaboration_workspace_contract.md,9.2 Notification rules,Algorithm/collaboration_workspace_contract.md::L1819[9.2_Notification_rules],"Customer notifications are in-app and optionally email, so email remains a separate, non-core channel dependency."
EMAIL_TEMPLATE_WEBHOOK_AND_CALLBACK_CONFIGURATION,ROADMAP_IMPLIED,NOTIFICATIONS_AND_DELIVERY,PROMPT/Checklist.md,pc_0042 phase_01_seq_042_browser_automation_configure_email_templates_webhooks_and_delivery_event_callbacks,PROMPT/Checklist.md::L77[pc_0042],"The roadmap isolates email templates, webhooks, and callbacks as a dedicated setup step."
EMAIL_TEMPLATE_WEBHOOK_AND_CALLBACK_CONFIGURATION,ROADMAP_IMPLIED,NOTIFICATIONS_AND_DELIVERY,Algorithm/collaboration_workspace_contract.md,9.2 Notification rules,Algorithm/collaboration_workspace_contract.md::L1819[9.2_Notification_rules],"The notification contract requires delivery events to stay deduplicated and visibility-safe, which provider callbacks must support."
PUSH_NOTIFICATION_OR_DEVICE_MESSAGING_PROJECT,ROADMAP_IMPLIED,NOTIFICATIONS_AND_DELIVERY,PROMPT/Checklist.md,pc_0043 phase_01_seq_043_browser_automation_create_push_notification_or_device_messaging_project_and_keys,PROMPT/Checklist.md::L78[pc_0043],The roadmap includes a push or device-messaging project and keys.
PUSH_NOTIFICATION_OR_DEVICE_MESSAGING_PROJECT,ROADMAP_IMPLIED,NOTIFICATIONS_AND_DELIVERY,Algorithm/macos_native_operator_workspace_blueprint.md,11. Security and runtime posture for the desktop client,Algorithm/macos_native_operator_workspace_blueprint.md::L459[11._Security_and_runtime_posture_for_the_desktop_client],"The native embodiment expects notification surfaces, which can drive a later decision to use an external messaging project."
SUPPLEMENTAL_ERROR_MONITORING_WORKSPACE,OPTIONAL_VENDOR_SELECTED,OBSERVABILITY_OVERLAY,PROMPT/Checklist.md,pc_0044 phase_01_seq_044_browser_automation_create_error_monitoring_workspace_and_project_tokens,PROMPT/Checklist.md::L79[pc_0044],The roadmap provides a dedicated error-monitoring workspace and project tokens.
SUPPLEMENTAL_ERROR_MONITORING_WORKSPACE,OPTIONAL_VENDOR_SELECTED,OBSERVABILITY_OVERLAY,Algorithm/observability_and_audit_contract.md,14.2 Separation of concerns,Algorithm/observability_and_audit_contract.md::L24[14.2_Separation_of_concerns],"Operational telemetry is mandatory, but a branded error-monitoring workspace is not the normative audit store."
HELPDESK_OR_OPERATOR_ASSIST_INTEGRATION,OPTIONAL_VENDOR_SELECTED,SUPPORT_INTEGRATION,PROMPT/Checklist.md,pc_0045 phase_01_seq_045_browser_automation_create_customer_support_or_helpdesk_integration_workspace_if_selected,PROMPT/Checklist.md::L80[pc_0045],The roadmap treats helpdesk integration as conditional on selection.
HELPDESK_OR_OPERATOR_ASSIST_INTEGRATION,OPTIONAL_VENDOR_SELECTED,SUPPORT_INTEGRATION,Algorithm/customer_client_portal_experience_contract.md,`Help`,Algorithm/customer_client_portal_experience_contract.md::L197[Help],"The product has a first-class help route, but the contract does not require an external helpdesk vendor."
OCR_DOCUMENT_EXTRACTION_CAPABILITY,OPTIONAL_VENDOR_SELECTED,DOCUMENT_PROCESSING,PROMPT/Checklist.md,pc_0046 phase_01_seq_046_browser_automation_create_managed_ocr_document_extraction_project_or_record_self_host_decision,PROMPT/Checklist.md::L81[pc_0046],The roadmap makes OCR explicitly pluggable: managed project or self-host decision.
OCR_DOCUMENT_EXTRACTION_CAPABILITY,OPTIONAL_VENDOR_SELECTED,DOCUMENT_PROCESSING,Algorithm/security_and_runtime_hardening_contract.md,5. Service-to-service and network hardening,Algorithm/security_and_runtime_hardening_contract.md::L104[5._Service-to-service_and_network_hardening],OCR is treated as an optional externalized connector boundary that still needs runtime hardening when present.
OCR_DOCUMENT_EXTRACTION_CAPABILITY,OPTIONAL_VENDOR_SELECTED,DOCUMENT_PROCESSING,Algorithm/invention_and_system_boundary.md,Out-of-scope adjacent functions,Algorithm/invention_and_system_boundary.md::L82[Out-of-scope_adjacent_functions],Generic OCR remains adjacent infrastructure rather than core algorithm law.
MALWARE_SCANNING_AND_QUARANTINE_CAPABILITY,ALGORITHM_EXPLICIT,DOCUMENT_PROCESSING,PROMPT/Checklist.md,pc_0047 phase_01_seq_047_browser_automation_create_malware_scanning_quarantine_service_or_record_self_host_decision,PROMPT/Checklist.md::L82[pc_0047],The roadmap requires either a scanning/quarantine service or a recorded self-host choice.
MALWARE_SCANNING_AND_QUARANTINE_CAPABILITY,ALGORITHM_EXPLICIT,DOCUMENT_PROCESSING,Algorithm/customer_client_portal_experience_contract.md,Secure document-upload flow,Algorithm/customer_client_portal_experience_contract.md::L293[Secure_document-upload_flow],"The portal contract requires explicit transfer, scan, validation, acceptance, rejection, and quarantine states."
MALWARE_SCANNING_AND_QUARANTINE_CAPABILITY,ALGORITHM_EXPLICIT,DOCUMENT_PROCESSING,Algorithm/collaboration_workspace_contract.md,8.2 Upload staging,Algorithm/collaboration_workspace_contract.md::L1673[8.2_Upload_staging],Staged uploads remain non-downloadable until malware scanning and visibility validation succeed.
SECRETS_MANAGER_OR_TOKEN_VAULT,ALGORITHM_EXPLICIT,SECRETS_AND_KEYS,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L27[1._Reference_runtime_topology],The runtime topology names token vault and KMS/HSM as first-class components.
SECRETS_MANAGER_OR_TOKEN_VAULT,ALGORITHM_EXPLICIT,SECRETS_AND_KEYS,Algorithm/security_and_runtime_hardening_contract.md,"3. Secret, key, and token handling",Algorithm/security_and_runtime_hardening_contract.md::L50[3._Secret_key_and_token_handling],Raw authority tokens must live only in a governed token vault or secret store.
KMS_HSM_ROOT_OF_TRUST,ALGORITHM_EXPLICIT,SECRETS_AND_KEYS,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L27[1._Reference_runtime_topology],The topology explicitly names KMS/HSM alongside the token vault boundary.
KMS_HSM_ROOT_OF_TRUST,ALGORITHM_EXPLICIT,SECRETS_AND_KEYS,Algorithm/security_and_runtime_hardening_contract.md,"3. Secret, key, and token handling",Algorithm/security_and_runtime_hardening_contract.md::L50[3._Secret_key_and_token_handling],Envelope keys and secret protection are rooted in KMS/HSM master-key material.
PRIMARY_TRANSACTIONAL_CONTROL_STORE,ALGORITHM_EXPLICIT,DATASTORE,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L22[1._Reference_runtime_topology],The runtime topology names a primary control store as the durable truth boundary.
PRIMARY_TRANSACTIONAL_CONTROL_STORE,ALGORITHM_EXPLICIT,DATASTORE,Algorithm/deployment_and_resilience_contract.md,3. Schema and datastore migration rules,Algorithm/deployment_and_resilience_contract.md::L72[3._Schema_and_datastore_migration_rules],Migration rules assume a transactional primary store with governed schema progression.
APPEND_ONLY_AUDIT_STORE,ALGORITHM_EXPLICIT,DATASTORE,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L24[1._Reference_runtime_topology],The topology names an append-only audit store as a distinct component.
APPEND_ONLY_AUDIT_STORE,ALGORITHM_EXPLICIT,DATASTORE,Algorithm/observability_and_audit_contract.md,14.10 Audit versus telemetry retention,Algorithm/observability_and_audit_contract.md::L537[14.10_Audit_versus_telemetry_retention],Audit history must remain distinct from sampled telemetry and therefore needs its own governed store.
OBJECT_STORAGE_AND_QUARANTINE_BUCKETS,ALGORITHM_EXPLICIT,STORAGE,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L25[1._Reference_runtime_topology],The topology explicitly names an object store for retained artifacts and evidence.
OBJECT_STORAGE_AND_QUARANTINE_BUCKETS,ALGORITHM_EXPLICIT,STORAGE,Algorithm/collaboration_workspace_contract.md,8.2 Upload staging,Algorithm/collaboration_workspace_contract.md::L1673[8.2_Upload_staging],Upload staging and quarantine require explicit storage segregation before publication.
QUEUE_OR_BROKER_COORDINATION_FABRIC,ALGORITHM_EXPLICIT,MESSAGE_COORDINATION,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L26[1._Reference_runtime_topology],The topology explicitly names a queue or broker for delivery fabric and worker coordination.
QUEUE_OR_BROKER_COORDINATION_FABRIC,ALGORITHM_EXPLICIT,MESSAGE_COORDINATION,Algorithm/security_and_runtime_hardening_contract.md,5. Service-to-service and network hardening,Algorithm/security_and_runtime_hardening_contract.md::L99[5._Service-to-service_and_network_hardening],Inbound callbacks and worker results enter through transactional inbox and dedupe layers before mutation.
CACHE_AND_STREAM_RESUME_STORE,ALGORITHM_EXPLICIT,CACHE_AND_RESUME,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L9[1._Reference_runtime_topology],The topology includes a read-side projector or stream broker plus disposable caches and rebuildable read state.
CACHE_AND_STREAM_RESUME_STORE,ALGORITHM_EXPLICIT,CACHE_AND_RESUME,Algorithm/security_and_runtime_hardening_contract.md,"6. Data protection, privacy, and cache safety",Algorithm/security_and_runtime_hardening_contract.md::L135[6._Data_protection_privacy_and_cache_safety],Cache and resume state are governed security boundaries rather than generic performance-only features.
OPENTELEMETRY_COLLECTION_AND_BACKEND,ALGORITHM_EXPLICIT,OBSERVABILITY,Algorithm/observability_and_audit_contract.md,14.2 Separation of concerns,Algorithm/observability_and_audit_contract.md::L24[14.2_Separation_of_concerns],"The signal model explicitly separates audit evidence from operational, security, and privacy telemetry."
OPENTELEMETRY_COLLECTION_AND_BACKEND,ALGORITHM_EXPLICIT,OBSERVABILITY,Algorithm/observability_and_audit_contract.md,14.8 Metric contract,Algorithm/observability_and_audit_contract.md::L420[14.8_Metric_contract],"Metric, trace, and log families are mandatory runtime capabilities even though product choice is open."
CONTAINER_REGISTRY_BUILD_SIGNING_AND_ATTESTATION,ALGORITHM_EXPLICIT,SUPPLY_CHAIN,Algorithm/security_and_runtime_hardening_contract.md,7. Supply-chain and build integrity,Algorithm/security_and_runtime_hardening_contract.md::L143[7._Supply-chain_and_build_integrity],"Supply-chain integrity explicitly requires SBOMs, vulnerability scanning, signed build outputs, and provenance checks."
CONTAINER_REGISTRY_BUILD_SIGNING_AND_ATTESTATION,ALGORITHM_EXPLICIT,SUPPLY_CHAIN,Algorithm/deployment_and_resilience_contract.md,2. Promotion pipeline,Algorithm/deployment_and_resilience_contract.md::L44[2._Promotion_pipeline],"The promotion pipeline builds, signs, and verifies release artifacts before promotion."
DNS_TLS_WAF_AND_EDGE_DELIVERY,ROADMAP_IMPLIED,NETWORK_EDGE,PROMPT/Checklist.md,pc_0056 phase_01_seq_056_provision_dns_tls_waf_and_edge_delivery_configuration,PROMPT/Checklist.md::L91[pc_0056],"The roadmap packages DNS, TLS, WAF, and edge delivery as a single provisioning step."
DNS_TLS_WAF_AND_EDGE_DELIVERY,ROADMAP_IMPLIED,NETWORK_EDGE,Algorithm/security_and_runtime_hardening_contract.md,"4. Browser, native-client, API, and transport hardening",Algorithm/security_and_runtime_hardening_contract.md::L78[4._Browser_native-client_API_and_transport_hardening],"TLS for all external traffic is mandatory, and stable ingress is a prerequisite for provider callbacks and identity flows."
CI_CD_RUNNERS_ENV_SECRETS_AND_EPHEMERAL_PREVIEW,ROADMAP_IMPLIED,DELIVERY_AUTOMATION,PROMPT/Checklist.md,pc_0057 phase_01_seq_057_provision_ci_cd_runners_environment_secrets_and_ephemeral_preview_accounts,PROMPT/Checklist.md::L92[pc_0057],"The roadmap explicitly provisions CI/CD runners, environment secrets, and preview accounts."
CI_CD_RUNNERS_ENV_SECRETS_AND_EPHEMERAL_PREVIEW,ROADMAP_IMPLIED,DELIVERY_AUTOMATION,Algorithm/deployment_and_resilience_contract.md,2. Promotion pipeline,Algorithm/deployment_and_resilience_contract.md::L44[2._Promotion_pipeline],Promotion requires repeated gated environments and reliable automation execution.
CI_CD_RUNNERS_ENV_SECRETS_AND_EPHEMERAL_PREVIEW,ROADMAP_IMPLIED,DELIVERY_AUTOMATION,Algorithm/security_and_runtime_hardening_contract.md,8. Operational security release gates,Algorithm/security_and_runtime_hardening_contract.md::L161[8._Operational_security_release_gates],Release admission depends on automated policy checks and secret-hygiene enforcement.
MACOS_CODE_SIGNING_NOTARIZATION_AND_KEYCHAIN_TRUST_CHAIN,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/macos_native_operator_workspace_blueprint.md,11. Security and runtime posture for the desktop client,Algorithm/macos_native_operator_workspace_blueprint.md::L473[11._Security_and_runtime_posture_for_the_desktop_client],"The native blueprint requires code signing, notarization, hardened runtime, and Keychain-only credential posture."
MACOS_CODE_SIGNING_NOTARIZATION_AND_KEYCHAIN_TRUST_CHAIN,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/security_and_runtime_hardening_contract.md,8. Operational security release gates,Algorithm/security_and_runtime_hardening_contract.md::L161[8._Operational_security_release_gates],"No production desktop client may ship without signature, notarization, and hardened-runtime policy."
MACOS_CODE_SIGNING_NOTARIZATION_AND_KEYCHAIN_TRUST_CHAIN,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/deployment_and_resilience_contract.md,2. Promotion pipeline,Algorithm/deployment_and_resilience_contract.md::L44[2._Promotion_pipeline],BuildArtifact promotion explicitly includes signing and notarization when the desktop app ships.
DESKTOP_RELEASE_AND_UPDATE_CHANNEL,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L28[1._Reference_runtime_topology],The deployment topology explicitly names the desktop release/update channel as a runtime component.
DESKTOP_RELEASE_AND_UPDATE_CHANNEL,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/macos_native_operator_workspace_blueprint.md,13. Delivery sequencing,Algorithm/macos_native_operator_workspace_blueprint.md::L516[13._Delivery_sequencing],Delivery sequencing assumes a real signed-distribution mechanism rather than ad hoc local builds.
INTERNAL_NORTHBOUND_COMMAND_AND_SESSION_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/northbound_api_and_session_contract.md,2. Required northbound surfaces,Algorithm/northbound_api_and_session_contract.md::L43[2._Required_northbound_surfaces],The contract defines these APIs as internal system surfaces even though they are exposed over HTTP.
INTERNAL_NORTHBOUND_COMMAND_AND_SESSION_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/northbound_api_and_session_contract.md,"8. Session, browser, and native-client rules",Algorithm/northbound_api_and_session_contract.md::L709[8._Session_browser_and_native-client_rules],"Session and browser-state rules are part of the internal product contract, not an external service dependency."
INTERNAL_PRODUCT_READ_MODELS_STREAMS_AND_UPLOAD_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/northbound_api_and_session_contract.md,2. Required northbound surfaces,Algorithm/northbound_api_and_session_contract.md::L43[2._Required_northbound_surfaces],"Admin, portal, and collaboration reads remain internal product APIs rather than third-party services."
INTERNAL_PRODUCT_READ_MODELS_STREAMS_AND_UPLOAD_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/collaboration_workspace_contract.md,8.2 Upload staging,Algorithm/collaboration_workspace_contract.md::L1673[8.2_Upload_staging],Upload staging uses internal session APIs layered over storage and scanning dependencies.
INTERNAL_PRODUCT_READ_MODELS_STREAMS_AND_UPLOAD_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/northbound_api_and_session_contract.md,7. Stream and reconnect rules,Algorithm/northbound_api_and_session_contract.md::L646[7._Stream_and_reconnect_rules],"Stream and resume semantics belong to the product API surface, not the external dependency list."
